sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
182,1101.880512,274.8481947,500,225.1518053,50693.33543,-0.588717255,0.147149168,-0.548432799,1.502157743,0.537576111,0.298983475,-0.015036535,-0.810891084,-0.015558809,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034
183,894.0824443,370.1769059,-269.3869008,-639.5638067,409041.8628,0.147149168,-0.548432799,1.502157743,0.537576111,0.298983475,-0.015036535,-0.810891084,-0.015558809,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814
184,549.96124,-470.4001664,-500,-29.59983358,876.150148,-0.548432799,1.502157743,0.537576111,0.298983475,-0.015036535,-0.810891084,-0.015558809,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521
185,884.7085153,233.0564624,-279.2541944,-512.3106568,262462.2091,1.502157743,0.537576111,0.298983475,-0.015036535,-0.810891084,-0.015558809,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227
186,685.5629092,-463.0764054,-500,-36.92359463,1363.35184,0.537576111,0.298983475,-0.015036535,-0.810891084,-0.015558809,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762
187,1017.27009,462.6131077,500,37.38689226,1397.779713,0.298983475,-0.015036535,-0.810891084,-0.015558809,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211
188,639.9502582,432.3835608,463.1055349,30.7219741,943.8396926,-0.015036535,-0.810891084,-0.015558809,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451
189,226.7927029,-45.84801359,28.20284519,74.05085878,5483.529686,-0.810891084,-0.015558809,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494
190,220.8408798,5.251242884,21.93776817,16.68652528,278.4401259,-0.015558809,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728
191,206.4011178,-498.1212874,-500,-1.878712607,3.52956106,-0.589832919,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458
192,601.0601146,-284.5565006,422.1685417,706.7250424,499460.2856,0.26848777,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591
193,856.3656706,-447.4933799,-500,-52.50662012,2756.945156,-0.827550456,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861
194,1232.386181,478.5743188,500,21.42568115,459.0598127,-0.333088101,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932
195,855.7982687,-487.5379269,-500,-12.4620731,155.3032659,0.522825566,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852
196,1214.673318,-494.476101,-500,-5.523898984,30.51345999,0.702541194,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885
197,1643.066037,477.6816398,500,22.31836023,498.1092034,-0.417474954,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238
198,1272.84842,490.8672548,500,9.132745178,83.40703449,-0.563584566,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708
199,836.8529308,-480.3568361,-500,-19.64316393,385.8538892,0.391756956,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531
200,1218.386809,-461.0540415,-500,-38.94595853,1516.787686,0.37123245,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834
201,1657.876406,494.8189538,500,5.181046183,26.84323955,-0.36962259,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193
202,1295.107238,500,500,0,0,-0.257717995,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879
203,858.1478353,-493.3088795,-500,-6.691120469,44.77109313,-0.25558034,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265
204,1248.427952,-464.2055384,-500,-35.79446156,1281.243478,-0.450769814,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753
205,1680.311541,131.7072264,374.0121488,242.3049223,58711.67537,-0.237083521,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705
206,1597.817269,14.09739362,-212.8239277,-226.9213213,51493.28606,0.555296227,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971
207,1574.683366,-140.6542488,-237.1754045,-96.52115574,9316.333505,0.350867762,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584
208,1673.51463,476.5127734,500,23.48722663,551.6498148,0.917640211,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585
209,1261.901991,474.0195977,500,25.9804023,674.9813037,0.075463451,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506
210,808.9723669,499.9663109,500,0.033689149,0.001134959,0.035852494,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615
211,336.0261751,6.61930708,143.1854474,136.5661403,18650.31068,-0.322967728,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782
212,262.8232585,71.99896202,66.12974577,-5.869216253,34.44769942,0.005477458,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898
213,200,-497.7248311,-500,-2.275168912,5.176393578,-0.480237591,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112
214,588.8875149,-250.5412176,-274.8552475,-24.31402994,591.1720519,-0.675955861,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445
215,807.9167442,-482.2029968,-500,-17.7970032,316.7333229,0.310790932,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469
216,1203.99134,-499.8393019,-500,-0.1606981,0.025823879,0.606043852,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102
217,1630.813894,428.5279084,6.119888185,-422.4080203,178428.5356,0.362748885,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916
218,1292.534081,484.4378539,500,15.56214608,242.1803906,0.562967238,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603
219,850.4075781,452.5971137,184.6395559,-267.9575578,71801.25278,0.135939708,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596
220,431.4407066,122.6825124,243.6217965,120.9392841,14626.31044,-0.242290531,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003
221,291.9850108,-59.70830011,96.82632713,156.5346272,24503.08951,0.089539834,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402
222,333.5747706,-495.785912,-500,-4.214087998,17.75853765,-0.099619193,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893
223,758.3525779,362.7495095,500,137.2504905,18837.69714,-0.404596879,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321
224,500.4320103,-76.97223017,132.0336951,209.0059252,43683.47677,-0.646994265,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207
225,549.5245833,-463.6136454,-316.2899123,147.3237331,21704.28233,-0.568105753,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927
226,961.0472432,-373.5403084,-500,-126.4596916,15992.0536,0.017790705,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069
227,1323.041342,-494.4609927,-500,-5.539007274,30.68060158,0.082282971,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996
228,1779.121426,128.6846166,-21.9774463,-150.6620629,22699.0572,-0.164832584,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428
229,1689.835618,191.1297655,384.0374931,192.9077277,37213.39141,0.606598585,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879
230,1513.504667,-151.5941386,-301.574035,-149.9798964,22493.96932,0.126599506,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308
231,1620.127291,458.7213108,500,41.27868919,1703.930181,0.308125615,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432
232,1227.118195,-100.9993969,-500,-399.0006031,159201.4813,0.582439782,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996
233,1245.169905,467.9664778,500,32.03352222,1026.146546,-0.218042898,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885
234,835.4062174,486.1888336,500,13.81116639,190.7483171,-0.697923112,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217
235,374.9044102,-479.9003423,-500,-20.09965775,403.9962417,0.370946445,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234
236,707.2531124,-468.9037425,-500,-31.09625753,966.9772324,-0.220379469,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593
237,1095.164284,438.2037409,500,61.79625915,3818.777645,0.569391102,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304
238,736.7903051,-498.710026,-500,-1.289973966,1.664032833,0.170029916,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064
239,1097.754542,464.0868151,500,35.91318491,1289.75685,0.43467603,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284
240,726.5704461,-260.243895,-445.7153199,-185.4714248,34399.64942,0.335471596,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913
241,899.0879141,476.2182375,500,23.78176252,565.5722286,-0.804227003,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316
242,509.022463,276.0106621,325.2868032,49.27614111,2428.138083,0.317691402,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935
243,234.3482421,-484.5263401,-500,-15.47365988,239.4341501,-0.234246893,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804
244,603.8079025,412.8186015,425.06095,12.24234852,149.8750973,-0.257443321,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145
245,280.26472,-454.2997696,-500,-45.70023039,2088.511058,-0.119043207,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636
246,622.5552295,-488.231449,-500,-11.76855097,138.4987919,0.357261927,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486
247,1069.493287,-449.3652929,-500,-50.6347071,2563.873563,0.393757069,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128
248,1497.064251,473.2849843,365.3307903,-107.9541939,11654.10798,0.434507996,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655
249,1148.230965,464.8400851,498.1378577,33.29777264,1108.741663,-0.638877428,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996
250,739.4142276,492.7473676,500,7.252632413,52.60067692,-0.216228879,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772
251,305.2286534,-489.5785293,-500,-10.42147073,108.6070522,-0.928174308,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237
252,691.6143407,-439.5460257,-500,-60.45397428,3654.683006,-0.015802432,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347
253,1100.61651,-495.3707251,-500,-4.629274875,21.43018587,0.275051996,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347,-0.06592906
254,1539.002946,-204.3261146,-274.7337412,-70.40762657,4957.233879,-0.25059885,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347,-0.06592906,0.047062848
255,1731.122289,489.4192239,500,10.58077606,111.952822,0.172918217,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347,-0.06592906,0.047062848,0.166338879
256,1317.07594,-487.9844137,-500,-12.01558625,144.3743129,0.187540234,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347,-0.06592906,0.047062848,0.166338879,-0.223368
257,1652.933576,212.1650888,500,287.8349112,82848.93611,0.513047593,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347,-0.06592906,0.047062848,0.166338879,-0.223368,0.13353899
258,1472.91409,352.6356912,500,147.3643088,21716.23951,-0.238559304,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347,-0.06592906,0.047062848,0.166338879,-0.223368,0.13353899,0.171006581
259,1137.250546,497.9385821,500,2.061417912,4.249443808,-0.261602064,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347,-0.06592906,0.047062848,0.166338879,-0.223368,0.13353899,0.171006581,-0.204440274
260,674.7862284,-487.9007329,-184.4355491,303.4651839,92091.11784,-0.250311284,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347,-0.06592906,0.047062848,0.166338879,-0.223368,0.13353899,0.171006581,-0.204440274,-0.20559837
261,1016.39281,-463.6691467,-500,-36.33085334,1319.930904,0.746036913,0.471242316,-0.017447935,0.120244804,0.073753145,0.111208636,-0.04845486,-0.088672128,-0.447628655,-0.206733996,0.700158772,0.244624237,0.050900347,-0.06592906,0.047062848,0.166338879,-0.223368,0.13353899,0.171006581,-0.204440274,-0.20559837,-0.309596363
