sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
22,214.9926086,13.67350453,15.78169327,2.108188737,4.444459751,-0.00314868,0.013636234,0.006030021,0.015194304,0.058868732,-0.033690597,0.031525847,0.035577007,0.014650409,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261
23,200,-19.354411,0,19.354411,374.5932252,0.013636234,0.006030021,0.015194304,0.058868732,-0.033690597,0.031525847,0.035577007,0.014650409,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692
24,204.8152565,-485.7526021,-500,-14.24739795,202.9883483,0.006030021,0.015194304,0.058868732,-0.033690597,0.031525847,0.035577007,0.014650409,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799
25,590.7763053,-474.1165465,-500,-25.88345348,669.9531641,0.015194304,0.058868732,-0.033690597,0.031525847,0.035577007,0.014650409,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562
26,996.9609101,-473.5873149,-500,-26.41268507,697.6299326,0.058868732,-0.033690597,0.031525847,0.035577007,0.014650409,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226
27,1404.95234,-417.8207682,-415.8396422,1.981125966,3.924860093,-0.033690597,0.031525847,0.035577007,0.014650409,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523
28,1770.663502,493.5056533,500,6.494346742,42.17653961,0.031525847,0.035577007,0.014650409,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835
29,1381.946197,-433.6005277,-440.0566344,-6.4561067,41.68131372,0.035577007,0.014650409,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259
30,1697.304165,-29.19615921,-108.100879,-78.90471976,6225.9548,0.014650409,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578
31,1748.064972,443.6927594,500,56.30724057,3170.505341,0.035383184,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525
32,1385.337626,-418.9373439,-436.4867095,-17.54936561,307.9802333,0.030002064,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278
33,1721.772272,364.1046508,500,135.8953492,18467.54593,0.123852936,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521
34,1460.352336,-162.9816567,-357.5238563,-194.5421996,37846.66743,0.032074197,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405
35,1580.981341,493.4260187,500,6.573981279,43.21722986,0.021738757,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241
36,1196.133161,64.93945576,364.3506955,299.4112397,89647.09046,0.059708858,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878
37,1116.764003,-408.6112579,-500,-91.38874205,8351.902173,-0.006869473,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128
38,1462.365128,414.7742578,500,85.22574216,7263.427127,0.030960078,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681
39,1142.243481,-492.7269492,-500,-7.273050797,52.8972679,0.097122763,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479
40,1506.871911,-105.0960868,-308.5558827,-203.4597959,41395.88855,0.07492784,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149
41,1605.395756,499.2011285,500,0.798871474,0.638195632,0.070627668,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573
