sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,price_0,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
20,691.2688299,500,500,0,0,0.055,0.045,0.031185132,0.030163623,0.027603002,0.02671943,0.032886873,0.02813094,0.043652585,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767
21,216.2688299,17.14834252,17.12508412,-0.023258403,0.000540953,0.045,0.031185132,0.030163623,0.027603002,0.02671943,0.032886873,0.02813094,0.043652585,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958
22,200,0,0,0,0,0.031185132,0.030163623,0.027603002,0.02671943,0.032886873,0.02813094,0.043652585,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526
23,200,0,0,0,0,0.030163623,0.027603002,0.02671943,0.032886873,0.02813094,0.043652585,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469
24,200,-416.8290273,-184.2105263,232.618501,54111.36701,0.027603002,0.02671943,0.032886873,0.02813094,0.043652585,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988
25,528.820953,-454.5083228,-338.0832073,116.4251155,13554.80752,0.02671943,0.032886873,0.02813094,0.043652585,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956
26,915.002784,-489.8127211,-431.5760169,58.23670422,3391.513718,0.032886873,0.02813094,0.043652585,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223
27,1334.721176,-492.4118866,-489.7671836,2.644703021,6.994454069,0.02813094,0.043652585,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852
28,1760.838537,87.56384257,458.7774075,371.213565,137799.5108,0.043652585,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583
29,1713.382578,-62.60105481,-91.17623316,-28.57517835,816.5408177,0.053057701,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726
30,1760.904615,476.5531161,500,23.44688394,549.7563665,0.046465041,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658
31,1365.003617,500,500,0,0,0.039538318,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953
32,921.6668066,500,500,0,0,0.030000206,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128
33,479.6036676,301.3188982,294.3196501,-6.999248088,48.9894738,0.034885294,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448
34,206.6267722,-343.3165143,-500,-156.6834857,24549.71469,0.02120742,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941
35,503.5614917,293.454589,319.5384124,26.08382334,680.36584,0.021973876,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824
36,294.9436061,-500,-500,0,0,0.028470886,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588
37,704.6202323,-499.2864514,-500,-0.713548558,0.509151545,0.030813053,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413
38,1164.074913,-495.514311,-500,-4.485688998,20.12140579,0.052596008,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668
39,1608.263896,-213.0168687,-201.8274784,11.18939037,125.2024569,0.077212276,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252
40,1800,-0.557022037,0,0.557022037,0.31027355,0.092992784,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485
41,1783.514253,161.5371658,166.8571084,5.319942594,28.3017892,0.106062767,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357
42,1619.444535,488.572137,500,11.42786299,130.5960525,0.087689958,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115
43,1176.489622,500,500,0,0,0.064581526,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107
44,702.3943275,500,500,0,0,0.059585469,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135
45,227.3943275,22.87771922,28.8361342,5.958414979,35.50270906,0.05006988,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122
46,200,0.029571965,0,-0.029571965,0.000874501,0.045497956,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559
47,200,0,0,0,0,0.030835223,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243
48,200,-85.98031624,0,85.98031624,7392.614781,0.029088852,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869
49,264.3624671,-487.4132878,-500,-12.5867122,158.425324,0.027213583,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568
50,658.6756822,-494.9807453,-500,-5.019254704,25.19291778,0.032144726,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203
51,1084.661516,-499.3282987,-500,-0.671701321,0.451182665,0.035054658,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754
52,1516.729256,-196.6883187,-298.1797301,-101.4914114,10300.50659,0.048166953,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192
53,1708.324676,-59.86069802,-96.50034102,-36.639643,1342.463439,0.053769128,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365
54,1772.866178,496.5845176,500,3.415482416,11.66552013,0.044299448,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122
55,1361.499401,492.0813249,500,7.918675149,62.70541612,0.046372941,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799
56,923.6864623,500,261.7752235,-238.2247765,56751.04414,0.028013824,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041
57,482.4305098,308.2776212,297.2952735,-10.98234771,120.6119612,0.029640588,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276
58,203.702922,-313.6776955,-500,-186.3223045,34716.00115,0.018650413,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969
59,477.8027689,68.74344576,108.2134409,39.46999518,1557.88052,0.022573668,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461
60,454.2453063,-438.6110009,-500,-61.38899909,3768.609209,0.018351252,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185
61,832.8502189,-435.1590554,-500,-64.84094456,4204.348091,0.031093485,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688
62,1236.36146,-499.9592167,-500,-0.040783292,0.001663277,0.056581357,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179
63,1679.30107,-87.79610694,-127.0515057,-39.25539881,1540.986336,0.077372115,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986
64,1779.53993,-15.85727347,-21.53691617,-5.679642705,32.25834126,0.094063107,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016
65,1781.396152,165.9749762,164.6275285,-1.34744775,1.815615439,0.110571135,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795
